2020/03/02 15:32:40 [error] 6#6: *21 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.26.0.6:5601/", host: "lamas.int"
2020/03/02 15:32:43 [error] 6#6: *21 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.26.0.6:5601/", host: "lamas.int"
2020/03/02 15:33:06 [error] 6#6: *21 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.26.0.6:5601/", host: "lamas.int"
2020/03/02 15:33:06 [error] 6#6: *21 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.26.0.6:5601/", host: "lamas.int"
2020/03/02 15:33:06 [error] 6#6: *21 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.26.0.6:5601/", host: "lamas.int"
2020/03/02 15:33:07 [error] 6#6: *21 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.26.0.6:5601/", host: "lamas.int"
2020/03/02 15:33:07 [error] 6#6: *21 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.26.0.6:5601/", host: "lamas.int"
2020/03/02 15:33:07 [error] 6#6: *21 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.26.0.6:5601/", host: "lamas.int"
2020/03/02 15:33:07 [error] 6#6: *21 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.26.0.6:5601/", host: "lamas.int"
2020/03/02 15:33:08 [error] 6#6: *21 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.26.0.6:5601/", host: "lamas.int"
2020/03/02 15:58:53 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "POST /api/ui_metric/report HTTP/1.1", upstream: "http://172.27.0.5:5601/api/ui_metric/report", host: "lamas.int", referrer: "http://lamas.int/app/kibana"
2020/03/02 15:58:53 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET /app/kibana HTTP/1.1", upstream: "http://172.27.0.5:5601/app/kibana", host: "lamas.int"
2020/03/02 15:58:55 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET /app/kibana HTTP/1.1", upstream: "http://172.27.0.5:5601/app/kibana", host: "lamas.int"
